,name,org,url,pub
185,Bardo E. J. Bodmann,Federal University of Rio Grande do Sul,https://dl.acm.org/profile/81309489204,Simulating virtual crowds in emergency situations
186,Soraia R. Musse,Pontifical Catholic University of Rio Grande do Sul,https://dl.acm.org/profile/81332517802,Simulating virtual crowds in emergency situations
187,Subramanium Ganesan,Oakland University,https://dl.acm.org/profile/81458653757,Small disaster relief robots with swarm intelligence routing
188,Manish Shakya,Oakland University,https://dl.acm.org/profile/81501674291,Small disaster relief robots with swarm intelligence routing
189,Aqueel F. Aqueel,Oakland University,https://dl.acm.org/profile/81501679034,Small disaster relief robots with swarm intelligence routing
190,Daniel H. Craft,University of Cambridge,https://dl.acm.org/profile/81100085927,Resource management in a decentralized system
191,Wei Lu,Paris-Saclay University,https://dl.acm.org/profile/99660779691,"Stochastic Geometry Modeling of Cellular Networks: Analysis, Simulation and Experimental Validation"
192,Marco Di Renzo,Laboratory of Signals and Systems,https://dl.acm.org/profile/83358800057,"Stochastic Geometry Modeling of Cellular Networks: Analysis, Simulation and Experimental Validation"
193,Xiaoxin Yin,Microsoft Research,https://dl.acm.org/profile/99659565257,Semi-supervised truth discovery
194,Wenzhao Tan,Microsoft Research,https://dl.acm.org/profile/81460649965,Semi-supervised truth discovery
195,Zhou Yang,The George Washington University,https://dl.acm.org/profile/99659916642,Coordinating disaster emergency response with heuristic reinforcement learning
196,Long Nguyen,Texas Tech University,https://dl.acm.org/profile/99659459815,Coordinating disaster emergency response with heuristic reinforcement learning
197,Jiazhen Zhu,The George Washington University,https://dl.acm.org/profile/99659916754,Coordinating disaster emergency response with heuristic reinforcement learning
198,Zhenhe Pan,Texas Tech University,https://dl.acm.org/profile/99659543368,Coordinating disaster emergency response with heuristic reinforcement learning
199,Fang Jin,The George Washington University,https://dl.acm.org/profile/99659459552,Coordinating disaster emergency response with heuristic reinforcement learning
200,Syed Ali Hassan,"National University of Sciences and Technology, Pakistan",https://dl.acm.org/profile/87259413757,Joint power and beamforming optimization of UAV-assisted NOMA networks for B5G-enabled smart cities
201,Aamir Mahmood,"Mid Sweden University, Sundsvall",https://dl.acm.org/profile/99659278774,Joint power and beamforming optimization of UAV-assisted NOMA networks for B5G-enabled smart cities
202,Mikael Gidlund,"Mid Sweden University, Sundsvall",https://dl.acm.org/profile/81100578122,Joint power and beamforming optimization of UAV-assisted NOMA networks for B5G-enabled smart cities
203,Haejoon Jung,Kyung Hee University,https://dl.acm.org/profile/99659586717,Joint power and beamforming optimization of UAV-assisted NOMA networks for B5G-enabled smart cities
204,Nimesh Ghelani,University of Waterloo,https://dl.acm.org/profile/99659191005,Event Detection on Curated Tweet Streams
205,Salman Mohammed,University of Waterloo,https://dl.acm.org/profile/99659191761,Event Detection on Curated Tweet Streams
206,Shine Wang,University of Waterloo,https://dl.acm.org/profile/99659192603,Event Detection on Curated Tweet Streams
207,Jimmy Lin,David R. Cheriton School of Computer Science,https://dl.acm.org/profile/81471640432,Event Detection on Curated Tweet Streams
208,Giovanni Toso,University of Padova,https://dl.acm.org/profile/86158653857,Attack Resilient Underwater Networks Through Software Defined Networking
209,Daniele Munaretto,University of Padova,https://dl.acm.org/profile/81453659446,Attack Resilient Underwater Networks Through Software Defined Networking
210,Mauro Conti,University of Padova,https://dl.acm.org/profile/81331490994,Attack Resilient Underwater Networks Through Software Defined Networking
211,Michele Zorzi,University of Padova,https://dl.acm.org/profile/81100200991,Attack Resilient Underwater Networks Through Software Defined Networking
212,Youyang Hou,"University of Michigan, Ann Arbor",https://dl.acm.org/profile/99658695768,Social Media Effectiveness for Public Engagement: Example of Small Nonprofits
213,Cliff Lampe,"University of Michigan, Ann Arbor",https://dl.acm.org/profile/99659334068,Social Media Effectiveness for Public Engagement: Example of Small Nonprofits
